num,smiles,energy
452,CC=CC1=CC(=C(C=C1)O)OC,6.912244
453,CC(CC(=O)O)C1=CC=CC=C1,5.316206
454,CCOC(=O)C1=CC=C(C=C1)N,11.71241
455,CN(C)CCC1=CC=C(C=C1)O,3.673652
456,C1=CC=C(C(=C1)C(=O)O)C(=O)O,8.871122
457,CSC1=NC=NC2=C1NC=N2,14.29132
458,CN1C(=O)C2=C(NC1=O)N=CN2,18.41117
459,CN1C=NC2=C1C(=O)NC(=O)N2,15.47397
460,CC(C1=CC=C(C=C1)O)C(=O)O,5.268333
461,C1=CC=C(C(=C1)CCC(=O)O)O,5.48187
462,COC(=O)CC1=CC=C(C=C1)O,3.99852
463,C1=CC(=C(N=C1)C(=O)O)C(=O)O,12.47298
464,CC1=NC=C(C(=C1O)C=O)CO,13.39597
465,C1=CC(=CC=C1C(C(=O)O)N)O,9.713601
466,COC1=C(C=CC(=C1)CCN)O,11.03484
467,C=C(C(=O)O)OP(=O)(O)O,4.888348
468,C12=C(NC(=O)N1)NC(=O)NC2=O,19.32044
469,COC1=CC(=C(C=C1)O)C(=O)O,10.78088
470,CC1=CC(=O)C(C(=O)O1)C(=O)C,11.40212
471,C1=CC(=C(C=C1O)CC(=O)O)O,4.938947
472,COC1=C(C=CC(=C1)C(=O)O)O,11.62994
473,CC1=NC=C(C(=C1O)CN)CO,13.87739
474,C(C(C(=O)O)N)S(=O)(=O)O,12.18425
475,C1=COC(=C1)C(=O)NCC(=O)O,9.557966
476,C1=CC(=C(C(=C1C(=O)O)O)O)O,8.748826
477,C(C(CO)OP(=O)(O)O)O,20.6011
478,CC1=CC=C(C=C1)S(=O)(=O)O,5.607869
479,C1C(C(C(=O)C=C1C(=O)O)O)O,10.47685
480,CCCCC(CC)CCC(=O)O,-5.532203
481,CCCCCCCCCC(=O)O,-4.683375
482,C1=CC=C(C(=C1)N)S(=O)(=O)O,9.577333
483,C1=CC=C2C(=C1)C=CC(=N2)C(=O)O,11.09503
484,C1=CC=C2C(=C1)C(=CC=N2)C(=O)O,10.93346
485,C1CC(CCC1C(C(=O)O)N)O,7.079805
486,CCCCCC(=O)NCC(=O)O,1.943116
487,CC(C)CC(C(=O)O)NC(=O)C,6.188069
488,C(C(C1C(=O)C(=O)C(=O)O1)O)O,12.23077
489,CC(=O)NC(CC(=O)N)C(=O)O,14.82031
490,CCOC(=O)CCC(=O)OCC,14.72956
491,CC(C)C(C(=O)O)NC(=O)CN,13.79446
492,CC(=O)NC(CC(=O)O)C(=O)O,13.04641
