smiles,substructure,average_contribution
C(C(C(=O)O)O)O,n1ccccc1,0.0
C(C(C(=O)O)O)O,o1cccc1,0.0
C(C(C(=O)O)O)O,s1cccc1,0.0
C(C(C(=O)O)O)O,n1cccc1,0.0
CC1=CC=C(C=C1)O,C,0.19988635182380676
CC1=CC=C(C=C1)O,CC,0.03215712308883667
CC1=CC=C(C=C1)O,C=C,0.0
CC1=CC=C(C=C1)O,C#C,0.0
CC1=CC=C(C=C1)O,CO,0.35647255182266235
CC1=CC=C(C=C1)O,CCO,0.0
CC1=CC=C(C=C1)O,c1ccccc1O,0.25714150071144104
CC1=CC=C(C=C1)O,COC,0.0
CC1=CC=C(C=C1)O,C=O,0.0
CC1=CC=C(C=C1)O,CC=O,0.0
CC1=CC=C(C=C1)O,CC(=O)C,0.0
CC1=CC=C(C=C1)O,C(=O)O,0.0
CC1=CC=C(C=C1)O,CC(=O)O,0.0
CC1=CC=C(C=C1)O,COC(=O)C,0.0
